Id,,,Percent 18 to 24 years < HS,Percent;  18 to 24 years - HS graduate,Percent; 18 to 24 years - Some college or associate's degree,Percent; 18 to 24 years >= BA,Percent;  25+ < 9th Grade,Percent;25 years and over - High school graduate (includes equivalency),"Percent;  25 years and over - Some college, no degree",Percent 25 years and over - Associate's degree,25 years and over - Bachelor's degree,25 years and over - Graduate or professional degree, Percent high school graduate or higher,,25 to 34 years - High school graduate or higher, 25 to 34 years - Bachelor's degree or higher,35 to 44 years - High school graduate or higher,,,,45 to 64 years - High school graduate or higher, 45 to 64 years - Bachelor's degree or higher,65 years and over - High school graduate or higher,,,,White alone - Bachelor's degree or higher," White alone, not Hispanic or Latino - High school graduate or higher","Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent; Estimate; Black alone - High school graduate or higher,Black alone - Bachelor's degree or higher,Asian alone - High school graduate or higher,Asian alone - Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,Some other race alone - High school graduate or higher,Some other race alone - Bachelor's degree or higher,Hispanic or Latino Origin - High school graduate or higher, Hispanic or Latino Origin - Bachelor's degree or higher, MEDIAN EARNINGS 25 years and over with earnings,,MEDIAN EARNINGS 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS Some college or associate's degree,MEDIAN EARNINGS Bachelor's degree, MEDIAN EARNINGS  Graduate or professional degree
620L500US06036,,,18.4,34,37,5.4,9.3,27.4,27,8.5,10.9,5.7,79.4,,83.7,16.1,77.9,,,,79.9,17,74.2,,,,17,90.6,21.5,88.8,14.4,88.8,43.8,74.3,13,56.2,6.4,61.8,7.5,37167,,24586,32399,40307,57999,75425
620L500US06037,,,7.8,19.2,43.3,6.2,8.1,17.2,22.9,8.3,21.7,15.1,85.3,,87.5,35.3,81,,,,85.3,36.9,86.7,,,,38.6,96.6,48.8,88.6,34.4,92.8,54.1,91.6,24,64.3,11.7,64,13.7,38782,,21578,29697,37896,53389,69420
620L500US06038,,,11.7,24.6,43.4,7.7,4.2,19.6,24.9,9.4,24.2,12.3,90.4,,91.3,35.6,89.6,,,,91.7,37.1,87.2,,,,33.7,95.7,38,91.9,36.6,94.8,62.2,78,25.9,73.6,15.6,74.8,18.2,50409,,21586,35262,46820,64924,81239
620L500US06039,,,15.9,31.6,37.9,7.3,19.3,25.9,17.6,6.6,13.6,4.9,68.6,,81.4,22,69.5,,,,63.4,16.6,60.1,,,,17.5,90.3,30.3,85.9,26,89.6,47.2,82.3,27.2,54.2,8,55.6,9.3,29666,,21175,26617,32433,43977,62005
620L500US06040,,,15.1,30.6,47.2,6.7,7.2,23.2,25,8.6,15.6,10.3,82.7,,87,26.3,80.8,,,,82.1,25.3,79.9,,,,25.4,92.7,32.6,87.1,22.4,88.8,50,91,20.2,63.3,10.6,69.2,13.3,36577,,19619,28278,37522,51556,71535
620L500US06041,,,9.3,25.7,34.8,3.1,5.3,15.8,21.1,8.4,25.2,19.7,90.2,,93.7,47.8,91.2,,,,90.6,44.5,85.6,,,,45.9,96,53,92.5,33.2,94.9,66.4,90,29.6,73,16.6,76.6,22.6,46658,,19787,27672,37669,59704,78973
620L500US06042,,,12.1,41.4,39.9,4,5.5,25.7,27.1,8.4,14.9,9.6,85.7,,87.2,19.1,82.4,,,,85.8,24.5,86.4,,,,25.4,92.4,29.3,88.6,21.3,86.2,42.2,73.1,20.9,66.3,9.2,68.3,10.2,32662,,19458,27692,33322,49851,69421
620L500US06043,,,9.4,22.3,40.1,5,8.3,17.3,18.4,8,27.9,14.8,86.5,,94.5,53.2,91.6,,,,86.5,39.5,72.3,,,,42,90.3,45.1,90.4,41.6,93.5,61.5,89.1,26.9,62.7,16.3,69.4,20.9,39945,,19198,26257,33384,50804,70235
620L500US06044,,,13.7,28.1,50.7,18.2,11.9,17.4,21.8,8.1,21.1,13.2,81.6,,81.8,27.7,78.9,,,,82.6,37.9,81.7,,,,33.3,96.9,46.4,92.4,31.1,93.2,59.6,88.7,22.5,59.2,11.9,56.9,11.6,39453,,20149,30347,40173,67414,87801
620L500US06045,,,12,25.2,44.4,4.5,7.6,19.6,20.5,7.4,24.7,13.8,86.1,,89.4,39.1,84.6,,,,85.8,38.4,84.7,,,,40,94.9,46.7,93.6,35.4,91.9,56.1,90.9,16,62.8,11,64.3,14.6,40412,,20857,28307,38359,53843,75904
620L500US06046,,,15.5,25.8,40.4,8.3,11.6,19.4,19.3,6.3,24.9,10.7,80.7,,86,39,79.4,,,,78.8,34.1,78,,,,40.6,95,50.8,93.5,38.8,92.1,53.5,96.6,19.3,54.8,7,57.9,11.6,32475,,18611,25581,32401,50354,68296
620L500US06047,,,18,35,47.6,17,15.7,27.6,22.2,6.3,9.4,3.8,69.4,,79.4,14.1,69.7,,,,65.5,12.7,59.5,,,,11.7,89.5,20.8,87.8,21,87,41.8,79.4,15,59.8,6.6,59.3,7.4,30594,,22000,28847,33512,46201,62593
620L500US06048,,,10.9,31.3,44.1,6.5,14,27.7,20.5,7.6,14.3,5.7,75.8,,87.3,25.1,78.7,,,,73.1,18,64.7,,,,18,92.2,27.7,87.4,28.8,83,41.1,76.1,20.9,68.2,9.5,66.9,10.4,31752,,21322,27376,36191,46023,64968
620L500US06049,,,9.7,27.1,73.1,8.3,13.9,23.2,15.9,7.3,21.3,9.9,77.7,,90.1,40.5,84.9,,,,75.8,28.7,65.1,,,,26.6,93.8,41.4,89.5,28.9,76.4,38,89.9,17.8,77.3,12,72.2,13.4,31884,,18113,23685,34212,49153,71792
620L500US06050,,,6.4,15.7,50.3,13.4,2.8,9.7,15.7,5.4,38.5,25.4,94.7,,97.4,72.6,95.7,,,,94.5,59.7,90.2,,,,65.9,97.2,67.7,93.7,53.1,97,73.3,85.9,44.3,68.2,26.8,77.2,37.7,54032,,18519,31130,39812,57899,82108
620L500US06051,,,20.1,26.8,47.5,5.7,21.9,20.2,16,5.6,15.8,7,64.7,,80.9,31,67.1,,,,58.6,18.7,48.4,,,,25.7,94.8,58.9,80.5,25.9,76.5,38.3,79.6,24.7,51.3,8.3,53.5,9.9,26803,,18119,23863,30387,44074,60307
